Hotel_ID,Purchased_Product,Booking_Date,Advance_Purchase,Length_of_Stay,Number_of_Rooms,Nightly_Rate,Total_Revenue,Membership_Status,VIP_Membership_Status
1,1,20070111,67,4,1,529.0,2116.0,0,0
1,1,20061208,101,4,1,629.0,2516.0,1,0
1,1,20070201,40,4,1,360.0,1440.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,0,20070409,1,1,1,329.0,329.0,0,0
1,1,20070202,58,6,1,469.0,2814.0,0,0
1,1,20070202,46,1,1,419.0,419.0,0,0
1,1,20061210,120,5,1,499.0,2495.0,3,1
1,1,20070203,40,3,1,360.0,1080.0,0,0
1,1,20070203,48,3,1,299.0,897.0,0,0
1,1,20070111,67,4,1,429.0,1716.0,0,0
1,1,20061218,104,3,1,252.0,756.0,1,0
1,1,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,1,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,0,20070405,5,1,1,439.0,439.0,0,0
1,1,20070405,5,1,1,399.0,399.0,0,0
1,0,20070405,5,1,1,399.0,399.0,0,0
