Hotel_ID,Booking_ID,Product_ID,Purchased_Product,Booking_Date,Check_In_Date,Check_Out_Date,Distribution_Channel,Advance_Purchase,Party_Size,Length_of_Stay,Number_of_Rooms,Nightly_Rate,Total_Revenue,Purchased_Rate_Code,Purchased_Room_Type,Merge_Indicator,Arrival_Rate,Rate_Code,Rate_Description,Room_Type,Membership_Status,Enrollment_Date,VIP_Membership_Status,VIP_Enrollment_Date
1,10,1,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,329.0,Rate 2,Rack Rate - Unrestricted Rate,King Room,1,20070408.0,0,
1,10,2,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,329.0,Rate 2,Rack Rate - Unrestricted Rate,Queen Room,1,20070408.0,0,
1,10,3,1,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,359.0,Rate 2,Rack Rate - Unrestricted Rate,King Room,1,20070408.0,0,
1,10,4,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,359.0,Rate 2,Rack Rate - Unrestricted Rate,Special Type Room,1,20070408.0,0,
1,10,5,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,359.0,Rate 2,Rack Rate - Unrestricted Rate,Queen Room,1,20070408.0,0,
1,10,6,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,359.0,Rate 2,Rack Rate - Unrestricted Rate,Special Type Room,1,20070408.0,0,
1,10,7,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,399.0,Rate 2,Rack Rate - Unrestricted Rate,King Room,1,20070408.0,0,
1,10,8,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,459.0,Rate 2,Rack Rate - Unrestricted Rate,Suite,1,20070408.0,0,
1,10,9,0,20070408,20070409,20070410,WEB,0,1,1,1,359.0,359.0,Rate 2,King Room,1,559.0,Rate 2,Rack Rate - Unrestricted Rate,Suite,1,20070408.0,0,
1,22,1,1,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,439.0,Rate 2,Rack Rate - Unrestricted Rate,King Room,0,,0,
1,22,2,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,399.0,Rate 2,Rack Rate - Unrestricted Rate,Special Type Room,0,,0,
1,22,3,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,399.0,Rate 2,Rack Rate - Unrestricted Rate,Queen Room,0,,0,
1,22,4,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,499.0,Rate 2,Rack Rate - Unrestricted Rate,Suite,0,,0,
1,22,5,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,599.0,Rate 2,Rack Rate - Unrestricted Rate,Suite,0,,0,
1,22,6,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,399.0,Rate 2,Rack Rate - Unrestricted Rate,Special Type Room,0,,0,
1,23,1,1,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,439.0,Rate 2,Rack Rate - Unrestricted Rate,King Room,0,,0,
1,23,2,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,399.0,Rate 2,Rack Rate - Unrestricted Rate,Special Type Room,0,,0,
1,23,3,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,399.0,Rate 2,Rack Rate - Unrestricted Rate,Queen Room,0,,0,
1,23,4,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,499.0,Rate 2,Rack Rate - Unrestricted Rate,Suite,0,,0,
1,23,5,0,20070405,20070410,20070411,CRO/Hotel,5,1,1,1,439.0,439.0,Rate 2,King Room,1,599.0,Rate 2,Rack Rate - Unrestricted Rate,Suite,0,,0,
